Clause,Cleaned_Clause,Cluster
MASTER SERVICES AGREEMENT,master service agreement,1
"This Master Services Agreement (""MSA"") is executed on this [] (hereinafter referred to as ""Effective Date"").",master service agreement msa executed hereinafter referred effective date,1
"ABC India Private Limited, a company incorporated under the provisions of the Companies Act, 1956, having its registered office at [], hereinafter referred to as ""ABC"" (which expression shall unless repugnant to the context or contrary to the meaning thereof mean and include its successors and permitted assigns) of the FIRST PART.",abc india private limited company incorporated provision company act registered office hereinafter referred abc expression shall unless repugnant context contrary meaning thereof mean include successor permitted assigns first part,1
"XYZ Limited, a company incorporated under the provisions of the Companies Act, [], having its registered office at [], hereinafter referred to as ""BSL"" (which expression shall unless repugnant to the context or contrary to the meaning thereof mean and include its successors and permitted assigns) of the SECOND PART.",xyz limited company incorporated provision company act registered office hereinafter referred bsl expression shall unless repugnant context contrary meaning thereof mean include successor permitted assigns second part,1
"""ABC"" and ""BSL"" hereto shall hereinafter be collectively referred to as the ""Parties"" and individually as a ""Party"".",abc bsl hereto shall hereinafter collectively referred party individually party,0
WHEREAS,whereas,0
"ABC is a wholly owned subsidiary of MQZ Private Limited which is, one of the leading international companies in Information and Communications Technology (ICT).",abc wholly owned subsidiary mqz private limited one leading international company information communication technology ict,1
BSL is engaged in the business of IT resource and staffing company which has 18+ years of rich experience with extensive and successful large global program delivery experience.,bsl engaged business resource staffing company year rich experience extensive successful large global program delivery experience,1
"ABC is currently providing IT services and undertaking offshore technical consultancy services to FGPQ Automotive Germany GmbH (""SEG"") and similar other clients on several enterprise level platforms.",abc currently providing service undertaking offshore technical consultancy service fgpq automotive germany gmbh seg similar client several enterprise level platform,1
"Based on the representations of the BSL, ABC is keen to engage BSL for providing Contractual Services (defined below) and BSL has agreed to accept an engagement of ABC on the terms and conditions hereinafter contained.",based representation bsl abc keen engage bsl providing contractual service defined bsl agreed accept engagement abc term condition hereinafter contained,1
Parties agrees to use this MSA for similar clients to the extent as possible.,party agrees use msa similar client extent possible,1
"NOW, THEREFORE, in consideration of the mutual promises herein, the Parties agree as follows:",therefore consideration mutual promise herein party agree follows,1
DEFINITIONS,definition,0
"In this MSA, unless the context otherwise requires, the following expressions have the following meanings:",msa unless context otherwise requires following expression following meaning,1
"""Applicable Data Protection Laws"" EU General Data Protection Laws, Information Technology Act, 2000, The Information Technology (Reasonable Security Practices and Procedures and Sensitive Personal Data or Information) Rules 2011 or any other statute, laws, regulations, ordinances, rules, determination, judgments, rule of law, orders, decrees, policies, guidelines to the extent applicable to the Parties of this MSA.",applicable data protection law eu general data protection law information technology act information technology reasonable security practice procedure sensitive personal data information rule statute law regulation ordinance rule determination judgment rule law order decree policy guideline extent applicable party msa,1
"""Applicable Laws"" means all Indian statutes, laws, regulations, ordinances, rules, determination, judgments, rule of law, orders, decrees, policies, guidelines, permits, approvals, concessions, grants, franchises, licenses, requirements, or any similar form of decision of, or any provision or condition of any permit, license or other operating authorization issued by any governmental authority having or asserting jurisdiction over the matter or matters in question, whether now or hereafter in effect, to the extent applicable to the Parties to this MSA.""",applicable law mean indian statute law regulation ordinance rule determination judgment rule law order decree policy guideline permit approval concession grant franchise license requirement similar form decision provision condition permit license operating authorization issued governmental authority asserting jurisdiction matter matter question whether hereafter effect extent applicable party msa,1
"""Client Contract"" means contractual arrangements made by ABC with SEG and such other clients.",client contract mean contractual arrangement made abc seg client,1
"""Confidential Information"" means this MSA and all information obtained by one Party from the other, pursuant to this MSA, which is expressly marked as confidential or which is manifestly confidential or which is confirmed in writing to be confidential within 7 (seven) days of its disclosure, and each Party's confidential information shall include without limitation all operational, business, commercial and financial information, business or trade secrets, personnel information, its products and/or prospective products, ideas, marketing information, technical and commercial know-how, tools, specifications, inventions, processes and initiatives that have been disclosed to the other Party, or the other Party becomes aware of, in the course of the MSA.",confidential information mean msa information obtained one party pursuant msa expressly marked confidential manifestly confidential confirmed writing confidential within seven day disclosure party confidential information shall include without limitation operational business commercial financial information business trade secret personnel information product andor prospective product idea marketing information technical commercial knowhow tool specification invention process initiative disclosed party party becomes aware course msa,1
"""Consultants"" means those employees and sub-contractors of BSL engaged from time to time in providing the Contractual Services and any employees of any such sub-contractors who are so engaged;",consultant mean employee subcontractor bsl engaged time time providing contractual service employee subcontractor engaged,1
"""Contractual Services"" means the services to be provided by BSL pursuant to the engagement with SEG.",contractual service mean service provided bsl pursuant engagement seg,1
