Clause,Cleaned_Clause,Cluster
MASTER SERVICES AGREEMENT,master service agreement,1
This Master Services Agreement (“MSA”) is executed on this [] (hereinafter referred to as “Effective Date”).,master service agreement msa executed hereinafter referred effective date,0
"ABC India Private Limited, a company incorporated under the provisions of the Companies Act, 1956, having its registered office at [], hereinafter referred to as “ABC” (which expression shall unless repugnant to the context or contrary to the meaning thereof mean and include its successors and permitted assigns) of the FIRST PART.",abc india private limited company incorporated provision company act registered office hereinafter referred abc expression shall unless repugnant context contrary meaning thereof mean include successor permitted assigns first part,2
"XYZ Limited, a company incorporated under the provisions of the Companies Act, [], having its registered office at [], hereinafter referred to as “BSL” (which expression shall unless repugnant to the context or contrary to the meaning thereof mean and include its successors and permitted assigns) of the SECOND PART.",xyz limited company incorporated provision company act registered office hereinafter referred bsl expression shall unless repugnant context contrary meaning thereof mean include successor permitted assigns second part,2
“ABC” and “BSL” hereto shall hereinafter be collectively referred to as the “Parties” and individually as a “Party”.,abc bsl hereto shall hereinafter collectively referred party individually party,2
WHEREAS,whereas,1
"ABC is a wholly owned subsidiary of MQZ Private Limited which is, one of the leading international companies in Information and Communications Technology (ICT).",abc wholly owned subsidiary mqz private limited one leading international company information communication technology ict,2
BSL is engaged in the business of IT resource and staffing company which has 18+ years of rich experience with extensive and successful large global program delivery experience.,bsl engaged business resource staffing company year rich experience extensive successful large global program delivery experience,2
ABC is currently providing IT services and undertaking offshore technical consultancy services to FGPQ Automotive Germany GmbH (“SEG”) and similar other clients on several enterprise level platforms.,abc currently providing service undertaking offshore technical consultancy service fgpq automotive germany gmbh seg similar client several enterprise level platform,2
"Based on the representations of the BSL, ABC is keen to engage BSL for providing Contractual Services (defined below) and BSL has agreed to accept an engagement of ABC on the terms and conditions hereinafter contained.",based representation bsl abc keen engage bsl providing contractual service defined bsl agreed accept engagement abc term condition hereinafter contained,2
Parties agrees to use this MSA for similar clients to the extent as possible.,party agrees use msa similar client extent possible,0
"NOW, THEREFORE, in consideration of the mutual promises herein, the Parties agree as follows:",therefore consideration mutual promise herein party agree follows,0
DEFINITIONS,definition,1
"In this MSA, unless the context otherwise requires, the following expressions have the following meanings:",msa unless context otherwise requires following expression following meaning,0
"“Applicable Data Protection Laws” EU General Data Protection Laws, Information Technology Act, 2000, The Information Technology (Reasonable Security Practices and Procedures and Sensitive Personal Data or Information) Rules 2011 or any other statute, laws, regulations, ordinances, rules, determination, judgments, rule of law, orders, decrees, policies, guidelines to the extent applicable to the Parties of this MSA.",applicable data protection law eu general data protection law information technology act information technology reasonable security practice procedure sensitive personal data information rule statute law regulation ordinance rule determination judgment rule law order decree policy guideline extent applicable party msa,2
