iri,label,definition
http://lmss.sali.org/R003ff473B2b6B987d708840,Federal Railroad Administration,The Federal Railroad Administration (FRA) is an agency in the United States Department of Transportation (DOT).
http://lmss.sali.org/R0043e3466ab162E7445Bc5e,Marlborough,
http://lmss.sali.org/R005a12005b5777151c2Be16,Ngiwal,
http://lmss.sali.org/R0064a5649f133205fb12e78,Bureau of Economic Analysis,"The Bureau of Economic Analysis (BEA) of the United States Department of Commerce is a U.S. government agency that provides official macroeconomic and industry statistics, most notably reports about the gross domestic product (GDP) of the United States and its various units-- states, cities/towns/townships/villages/counties and metropolitan areas."
http://lmss.sali.org/R006b7783E9de969bbe2E35c,nohiyahoi tobei jumhuri,"A ""nohiyahoi tobei jumhuri"" is a subdivision of Tajikistan, which may refer to a district or region within the country."
http://lmss.sali.org/R006ce314600aC7Ea8fFB218,Kaabong,Kaabong is a location in Uganda.
http://lmss.sali.org/R006e96EA5424450dca52804,Saint Paul,Okla. Att'y Gen.
http://lmss.sali.org/R0076a30DE24380B4aaDA7b8,Togdheer,Togdheer is a region in Somalia.
http://lmss.sali.org/R007a2bFB0f53EE4aec2A716,Phitsanulok,Phitsanulok is a city in Thailand.
http://lmss.sali.org/R0092bb7927eeC30df81B181,Central,
http://lmss.sali.org/R009884E0Afb3E075b6D6b26,Xiangkhouang,Xiangkhouang is a province in the Lao People's Democratic Republic.
http://lmss.sali.org/R00Cf44CFD722189b4e3Fa54,Szabolcs-Szatmar-Bereg,Szabolcs-Szatmar-Bereg is a county in Hungary.
http://lmss.sali.org/R00D1fcF039adD7Dd1aFAd45,Hawaii State Courts,"The Hawaii State Courts are the judicial branch of the Hawaii state government, responsible for administering legal proceedings within the state, including the Hawaii Intermediate Court of Appeals and the Hawaii Supreme Court."
http://lmss.sali.org/R00D838D16d7b1D5325FEaea,Daskasan,Daskasan is a location in Azerbaijan.
http://lmss.sali.org/R00F5f755285b32B5cd55ac8,United States dollar,"Locations used: United States, American Samoa(AS), Barbados(BB) (as well as Barbados Dollar), Bermuda(BM) (as well as Bermudian Dollar), British Indian Ocean Territory(IO) (also uses GBP), British Virgin Islands(VG), Caribbean Netherlands(BQ Bonaire, Sint"
http://lmss.sali.org/R0103e97052dfFC873e5F6c1,Jawa Barat,Jawa Barat is a province in Indonesia.
http://lmss.sali.org/R0110dfA1321aA9936cE6a72,Diekirch,
http://lmss.sali.org/R011f22918864D6Ebd0AEbbe,Siauliu apskritis,
